2015-12-8,7
2015-12-10,5
2015-12-12,8
2015-12-14,7
2015-12-15,1
2015-12-16,3
2015-12-17,1
2015-12-18,3
2015-12-19,3
2015-12-20,2
2015-12-21,6
2015-12-22,8
2015-12-23,2
2015-12-25,2
2015-12-26,5
2015-12-27,6
2015-12-28,4
2015-12-29,6
2015-12-30,2
2015-12-31,11
2016-1-1,16
2016-1-2,1
2016-1-3,1
2016-1-5,4
2016-1-6,2
2016-1-7,13
2016-1-8,7
2016-1-9,7
2016-1-10,5
2016-1-11,14
2016-1-12,13
2016-1-14,3
2016-1-16,12
2016-1-17,9
2016-1-18,8
2016-1-19,13
2016-1-20,16
2016-1-21,23
2016-1-22,26
2016-1-23,7
2016-1-24,2
2016-1-25,1
2016-1-27,1
2016-1-28,11
2016-1-29,4
2016-1-30,2
2016-1-31,5
2016-2-8,2
2016-2-10,2
2016-2-11,4
2016-2-12,1
2016-2-14,3
2016-2-15,1
2016-2-16,1
2016-2-17,3
2016-2-19,2
2016-2-20,5
2016-2-21,3
2016-2-22,1
2016-2-24,4
2016-2-25,1
2016-2-26,3
2016-2-27,3
2016-2-28,5
2016-2-29,5
2016-3-1,4
2016-3-2,3
2016-3-3,6
2016-3-4,3
2016-3-5,5
2016-3-6,3
2016-3-7,3
2016-3-8,3
2016-3-9,8
2016-3-10,6
2016-3-11,5
2016-3-12,7
2016-3-13,7
2016-3-14,2
2016-3-15,2
2016-3-16,1
2016-3-17,8
2016-3-18,3
2016-3-19,5
2016-3-20,1
2016-3-21,2
2016-3-23,1
2016-3-24,5
2016-3-25,5
2016-3-26,1
2016-3-27,2
2016-3-28,3
2016-3-29,1
2016-3-30,4
2016-3-31,2
2016-4-1,3
2016-4-2,5
2016-4-3,3
2016-4-4,7
2016-4-5,1
2016-4-6,2
2016-4-7,3
2016-4-8,5
2016-4-9,10
2016-4-11,1
2016-4-12,3
2016-4-13,4
2016-4-14,4
2016-4-16,2
2016-4-17,1
2016-4-18,4
2016-4-19,6
2016-4-20,10
2016-4-21,7
2016-4-22,4
2016-4-23,4
2016-4-24,3
2016-4-25,5
2016-4-26,6
2016-4-27,8
2016-4-28,6
2016-4-29,3
2016-4-30,5
2016-5-1,2
2016-5-2,8
2016-5-3,4
2016-5-4,6
2016-5-5,2
2016-5-6,3
2016-5-7,2
2016-5-8,1
2016-5-9,6
2016-5-10,3
2016-5-11,4
2016-5-12,8
2016-5-13,5
2016-5-14,12
2016-5-16,8
2016-5-17,11
2016-5-18,7
2016-5-19,9
2016-5-20,8
2016-5-21,7
2016-5-22,10
2016-5-23,3
2016-5-24,2
2016-5-25,6
2016-5-26,6
2016-5-27,8
2016-5-28,4
2016-5-29,5
2016-5-30,6
2016-5-31,9
2016-6-1,8
2016-6-2,7
2016-6-3,13
2016-6-4,21
2016-6-5,15
2016-6-6,10
2016-6-7,12
2016-6-8,13
2016-6-9,10
2016-6-10,14
2016-6-11,9
2016-6-12,7
2016-6-13,15
2016-6-14,13
2016-6-15,14
2016-6-16,6
2016-6-17,9
2016-6-18,4
2016-6-19,10
2016-6-20,23
2016-6-21,13
2016-6-22,19
2016-6-23,15
2016-6-24,9
2016-6-25,16
2016-6-26,11
2016-6-27,16
2016-6-28,8
2016-6-29,3
2016-6-30,7
2016-7-1,13
2016-7-2,10
2016-7-3,5
2016-7-4,10
2016-7-5,6
2016-7-6,10
2016-7-7,14
2016-7-8,5
2016-7-9,16
2016-7-10,13
2016-7-11,8
2016-7-12,8
2016-7-13,14
2016-7-14,9
2016-7-15,17
2016-7-16,14
2016-7-17,11
2016-7-18,5
2016-7-19,12
2016-7-20,15
2016-7-21,13
2016-7-22,17
2016-7-23,12
2016-7-24,9
2016-7-25,15
2016-7-26,10
2016-7-27,9
2016-7-28,7
2016-7-29,6
2016-7-30,10
2016-7-31,11
2016-8-1,8
2016-8-2,8
2016-8-3,10
2016-8-4,4
2016-8-5,10
2016-8-6,11
2016-8-7,6
2016-8-8,6
2016-8-9,8
2016-8-10,7
2016-8-11,8
2016-8-12,6
2016-8-13,8
2016-8-16,6
2016-8-17,6
2016-8-18,3
2016-8-19,4
2016-8-20,7
2016-8-21,8
2016-8-22,7
2016-8-23,8
2016-8-24,5
2016-8-26,7
2016-8-29,8
2016-8-30,8
2016-8-31,3
2016-9-1,6
2016-9-2,10
2016-9-3,7
2016-9-4,11
2016-9-5,13
2016-9-6,9
2016-9-7,8
2016-9-8,8
2016-9-9,3
2016-9-10,10
2016-9-12,12
2016-9-13,10
2016-9-15,3
2016-9-16,6
2016-9-17,8
2016-9-18,8
2016-9-19,11
2016-9-20,14
2016-9-21,9
2016-9-22,2
2016-9-23,7
2016-9-24,7
2016-9-25,10
2016-9-26,10
2016-9-27,10
2016-9-28,7
2016-9-29,9
2016-9-30,5
2016-10-1,16
2016-10-3,8
2016-10-4,10
2016-10-5,6
2016-10-6,1
2016-10-7,11
2016-10-8,5
2016-10-9,3
2016-10-10,8
2016-10-11,4
2016-10-12,7
2016-10-13,10
2016-10-14,11
2016-10-15,7
2016-10-16,12
2016-10-17,7
2016-10-18,7
2016-10-19,6
2016-10-20,3
2016-10-21,4
2016-10-22,2
2016-10-23,6
2016-10-24,5
2016-10-25,5
